time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-03-19 16:15,19025.686,18760.401,0.000,0.000,80,778,23
2024-03-19 16:30,19025.686,18760.462,0.000,0.000,101,298,23
2024-03-19 16:45,19025.686,18760.555,0.000,0.000,130,364,22
2024-03-19 17:00,19025.686,18760.656,0.000,0.000,132,304,22
2024-03-19 17:15,19025.686,18760.753,0.000,0.000,928,278,34
2024-03-19 17:30,19025.686,18760.883,0.000,0.000,1558,257,27
2024-03-19 17:45,19025.686,18761.184,0.000,0.000,1005,249,23
2024-03-19 18:00,19025.686,18761.454,0.000,0.000,1142,310,23
2024-03-19 18:15,19025.686,18761.624,0.000,0.000,654,275,23
2024-03-19 18:30,19025.686,18761.849,0.000,0.000,974,262,25
2024-03-19 18:45,19025.686,18762.123,0.000,0.000,988,338,31
2024-03-19 19:00,19025.686,18762.420,0.000,0.000,2108,263,25
2024-03-19 19:15,19025.686,18762.998,0.000,0.000,1491,1847,23
2024-03-19 19:30,19025.686,18763.523,0.000,0.000,1493,342,23
2024-03-19 19:45,19025.686,18763.747,0.000,0.000,76,401,23
2024-03-19 20:00,19025.686,18763.845,0.000,0.000,102,625,42
2024-03-19 20:15,19025.686,18764.014,0.000,0.000,138,497,32
2024-03-19 20:30,19025.686,18764.124,0.000,0.000,111,2315,30
2024-03-19 20:45,19025.686,18764.520,0.000,0.000,268,1330,23
2024-03-19 21:00,19025.686,18764.792,0.000,0.000,719,1051,23
2024-03-19 21:15,19025.686,18765.072,0.000,0.000,477,1377,30
2024-03-19 21:30,19025.686,18765.320,0.000,0.000,141,2160,34
2024-03-19 21:45,19025.686,18765.820,0.000,0.000,126,297,30
2024-03-19 22:00,19025.686,18765.916,0.000,0.000,137,477,23
2024-03-19 22:15,19025.686,18766.022,0.000,0.000,71,162,23
2024-03-19 22:30,19025.686,18766.088,0.000,0.000,112,195,23
2024-03-19 22:45,19025.686,18766.154,0.000,0.000,143,217,23
2024-03-19 23:00,19025.689,18766.234,0.000,0.000,101,342,23
2024-03-19 23:15,19025.760,18766.234,0.000,0.000,94,194,23
2024-03-19 23:30,19025.822,18766.234,0.000,0.000,323,190,23
2024-03-19 23:45,19025.932,18766.234,0.000,0.000,298,225,23
2024-03-20 00:00,19026.031,18766.234,0.000,0.000,87,209,23
2024-03-20 00:15,19026.089,18766.234,0.000,0.000,155,217,23
2024-03-20 00:30,19026.173,18766.234,0.000,0.000,168,175,33
2024-03-20 00:45,19026.256,18766.234,0.000,0.000,124,166,32
2024-03-20 01:00,19026.322,18766.234,0.000,0.000,128,174,30
2024-03-20 01:15,19026.384,18766.234,0.000,0.000,152,139,23
2024-03-20 01:30,19026.439,18766.234,0.000,0.000,66,125,22
2024-03-20 01:45,19026.478,18766.234,0.000,0.000,108,121,22
2024-03-20 02:00,19026.525,18766.234,0.000,0.000,127,251,22
2024-03-20 02:15,19026.596,18766.234,0.000,0.000,99,154,22
2024-03-20 02:30,19026.654,18766.234,0.000,0.000,87,176,22
2024-03-20 02:45,19026.703,18766.234,0.000,0.000,92,141,22
2024-03-20 03:00,19026.757,18766.234,0.000,0.000,86,124,22
2024-03-20 03:15,19026.803,18766.234,0.000,0.000,88,103,22
2024-03-20 03:30,19026.851,18766.234,0.000,0.000,112,189,22
2024-03-20 03:45,19026.904,18766.234,0.000,0.000,106,339,22
2024-03-20 04:00,19026.960,18766.234,0.000,0.000,46,176,22
2024-03-20 04:15,19027.001,18766.234,0.000,0.000,103,139,22
2024-03-20 04:30,19027.046,18766.234,0.000,0.000,132,192,22
2024-03-20 04:45,19027.110,18766.234,0.000,0.000,98,192,22
2024-03-20 05:00,19027.157,18766.234,0.000,0.000,56,157,22
2024-03-20 05:15,19027.209,18766.234,0.000,0.000,103,143,22
2024-03-20 05:30,19027.253,18766.234,0.000,0.000,92,288,22
2024-03-20 05:45,19027.310,18766.234,0.000,0.000,74,90,22
2024-03-20 06:00,19027.354,18766.234,0.000,0.000,127,539,22
2024-03-20 06:15,19027.421,18766.234,0.000,0.000,90,123,22
2024-03-20 06:30,19027.467,18766.234,0.000,0.000,74,395,22
2024-03-20 06:45,19027.513,18766.234,0.000,0.000,134,138,22
2024-03-20 07:00,19027.557,18766.239,0.000,0.000,116,121,22
2024-03-20 07:15,19027.557,18766.297,0.000,0.000,94,164,22
2024-03-20 07:30,19027.557,18766.365,0.000,0.000,2111,309,23
2024-03-20 07:45,19027.557,18766.877,0.000,0.000,179,137,23
2024-03-20 08:00,19027.557,18766.957,0.000,0.000,227,293,23
2024-03-20 08:15,19027.557,18767.070,0.000,0.000,399,1231,23
2024-03-20 08:30,19027.557,18767.291,0.000,0.000,116,457,23
2024-03-20 08:45,19027.557,18767.384,0.000,0.000,89,342,23
2024-03-20 09:00,19027.557,18767.457,0.000,0.000,127,462,23
2024-03-20 09:15,19027.557,18767.531,0.000,0.000,460,183,23
2024-03-20 09:30,19027.557,18767.626,0.000,0.000,220,232,23
2024-03-20 09:45,19027.557,18767.723,0.000,0.000,329,223,23
2024-03-20 10:00,19027.557,18767.818,0.000,0.000,236,180,23
2024-03-20 10:15,19027.557,18767.918,0.000,0.000,228,402,23
2024-03-20 10:30,19027.557,18767.999,0.000,0.000,117,233,23
2024-03-20 10:45,19027.557,18768.074,0.000,0.000,135,338,23
2024-03-20 11:00,19027.557,18768.155,0.000,0.000,108,205,23
2024-03-20 11:15,19027.557,18768.229,0.000,0.000,116,183,23
2024-03-20 11:30,19027.557,18768.295,0.000,0.000,98,192,23
2024-03-20 11:45,19027.557,18768.359,0.000,0.000,128,163,23
2024-03-20 12:00,19027.557,18768.426,0.000,0.000,120,207,39
2024-03-20 12:15,19027.557,18768.500,0.000,0.000,251,216,31
2024-03-20 12:30,19027.557,18768.606,0.000,0.000,62,246,23
2024-03-20 12:45,19027.557,18768.668,0.000,0.000,104,256,23
2024-03-20 13:00,19027.557,18768.758,0.000,0.000,129,416,23
2024-03-20 13:15,19027.557,18768.868,0.000,0.000,81,416,23
2024-03-20 13:30,19027.557,18768.961,0.000,0.000,100,272,23
2024-03-20 13:45,19027.557,18769.039,0.000,0.000,93,356,23
2024-03-20 14:00,19027.557,18769.121,0.000,0.000,69,223,23
2024-03-20 14:15,19027.557,18769.197,0.000,0.000,99,323,23
2024-03-20 14:30,19027.557,18769.274,0.000,0.000,109,241,23
2024-03-20 14:45,19027.557,18769.374,0.000,0.000,285,306,23
2024-03-20 15:00,19027.557,18769.509,0.000,0.000,829,487,23
2024-03-20 15:15,19027.557,18769.717,0.000,0.000,146,238,23
2024-03-20 15:30,19027.557,18769.806,0.000,0.000,141,331,23
2024-03-20 15:45,19027.557,18769.903,0.000,0.000,105,320,23
2024-03-20 16:00,19027.557,18769.997,0.000,0.000,150,316,23
2024-03-20 16:15,19027.557,18770.102,0.000,0.000,627,208,23
2024-03-20 16:30,19027.557,18770.227,0.000,0.000,833,270,26
2024-03-20 16:45,19027.557,18770.455,0.000,0.000,235,185,30
2024-03-20 17:00,19027.557,18770.553,0.000,0.000,105,556,23
2024-03-20 17:15,19027.557,18770.657,0.000,0.000,107,450,23
2024-03-20 17:30,19027.557,18770.788,0.000,0.000,124,497,23
2024-03-20 17:45,19027.557,18770.931,0.000,0.000,127,466,23
2024-03-20 18:00,19027.557,18771.068,0.000,0.000,97,384,23
2024-03-20 18:15,19027.557,18771.196,0.000,0.000,116,409,23
2024-03-20 18:30,19027.557,18771.319,0.000,0.000,130,521,23
2024-03-20 18:45,19027.557,18771.457,0.000,0.000,58,421,22
2024-03-20 19:00,19027.557,18771.574,0.000,0.000,1245,1311,32
2024-03-20 19:15,19027.557,18771.872,0.000,0.000,1031,2109,30
2024-03-20 19:30,19027.557,18772.475,0.000,0.000,181,891,38
2024-03-20 19:45,19027.557,18772.649,0.000,0.000,96,420,23
2024-03-20 20:00,19027.557,18772.724,0.000,0.000,142,337,45
2024-03-20 20:15,19027.557,18772.853,0.000,0.000,143,555,45
2024-03-20 20:30,19027.557,18773.012,0.000,0.000,130,748,25
2024-03-20 20:45,19027.557,18773.154,0.000,0.000,167,733,45
2024-03-20 21:00,19027.557,18773.300,0.000,0.000,162,2477,223
2024-03-20 21:15,19027.557,18773.776,0.000,0.000,144,657,52
2024-03-20 21:30,19027.557,18773.914,0.000,0.000,112,325,43
2024-03-20 21:45,19027.557,18774.032,0.000,0.000,124,2248,22
2024-03-20 22:00,19027.557,18774.625,0.000,0.000,97,147,23
2024-03-20 22:15,19027.557,18774.685,0.000,0.000,101,90,23
